SCLK,LMST,LTST,BOOM1_HORIZONTAL_WIND_SPEED,BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM1_VERTICAL_WIND_SPEED,BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM1_WIND_DIRECTION,BOOM1_WIND_DIRECTION_UNCERTAINTY,BOOM2_HORIZONTAL_WIND_SPEED,BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY,BOOM2_VERTICAL_WIND_SPEED,BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY,BOOM2_WIND_DIRECTION,BOOM2_WIND_DIRECTION_UNCERTAINTY,BOOM1_ALG_STATE_STABLE,BOOM2_ALG_STATE_STABLE,ROVER_STILL
686158343,00217M00:01:38.204,0217 00:21:13,2.11,,,,338.92,,,,,,,,1,0,1
686158344,00217M00:01:39.177,0217 00:21:14,2.09,,,,338.92,,,,,,,,1,0,1
686158345,00217M00:01:40.150,0217 00:21:15,2.17,,,,343.89,,,,,,,,1,0,1
686158346,00217M00:01:41.123,0217 00:21:16,1.99,,,,343.89,,,,,,,,1,0,1
686158347,00217M00:01:42.097,0217 00:21:17,2.11,,,,348.85,,,,,,,,1,0,1
686158348,00217M00:01:43.070,0217 00:21:18,2.40,,,,343.89,,,,,,,,1,0,1
686158349,00217M00:01:44.043,0217 00:21:19,2.46,,,,333.96,,,,,,,,1,0,1
686158350,00217M00:01:45.016,0217 00:21:20,2.03,,,,333.96,,,,,,,,1,0,1
686158351,00217M00:01:45.990,0217 00:21:21,2.05,,,,333.96,,,,,,,,1,0,1
686158352,00217M00:01:46.963,0217 00:21:22,2.16,,,,319.04,,,,,,,,1,0,1
686158353,00217M00:01:47.936,0217 00:21:23,2.11,,,,328.99,,,,,,,,1,0,1
686158354,00217M00:01:48.909,0217 00:21:24,2.05,,,,333.96,,,,,,,,1,0,1
686158355,00217M00:01:49.883,0217 00:21:25,2.29,,,,338.92,,,,,,,,1,0,1
686158356,00217M00:01:50.856,0217 00:21:26,2.34,,,,343.89,,,,,,,,1,0,1
686158357,00217M00:01:51.829,0217 00:21:27,2.34,,,,328.99,,,,,,,,1,0,1
686158358,00217M00:01:52.802,0217 00:21:28,2.11,,,,328.99,,,,,,,,1,0,1
686158359,00217M00:01:53.776,0217 00:21:29,2.05,,,,333.96,,,,,,,,1,0,1
686158360,00217M00:01:54.749,0217 00:21:30,2.11,,,,333.96,,,,,,,,1,0,1
686158361,00217M00:01:55.722,0217 00:21:31,1.88,,,,333.96,,,,,,,,1,0,1
686158362,00217M00:01:56.695,0217 00:21:32,1.99,,,,338.92,,,,,,,,1,0,1
686158363,00217M00:01:57.669,0217 00:21:33,1.82,,,,333.96,,,,,,,,1,0,1
686158364,00217M00:01:58.642,0217 00:21:34,1.70,,,,328.99,,,,,,,,1,0,1
686158365,00217M00:01:59.615,0217 00:21:35,1.94,,,,338.92,,,,,,,,1,0,1
686158366,00217M00:02:00.588,0217 00:21:36,2.11,,,,328.99,,,,,,,,1,0,1
686158367,00217M00:02:01.562,0217 00:21:37,2.11,,,,328.99,,,,,,,,1,0,1
686158368,00217M00:02:02.535,0217 00:21:38,1.99,,,,338.92,,,,,,,,1,0,1
686158369,00217M00:02:03.508,0217 00:21:39,1.69,,,,333.96,,,,,,,,1,0,1
686158370,00217M00:02:04.481,0217 00:21:40,1.46,,,,328.99,,,,,,,,1,0,1
686158371,00217M00:02:05.455,0217 00:21:41,1.34,,,,338.92,,,,,,,,1,0,1
686158372,00217M00:02:06.428,0217 00:21:42,1.24,,,,338.92,,,,,,,,1,0,1
686158373,00217M00:02:07.401,0217 00:21:43,1.34,,,,333.96,,,,,,,,1,0,1
686158374,00217M00:02:08.374,0217 00:21:44,2.04,,,,319.04,,,,,,,,1,0,1
686158375,00217M00:02:09.348,0217 00:21:45,1.96,,,,309.07,,,,,,,,1,0,1
686158376,00217M00:02:10.321,0217 00:21:46,1.75,,,,304.07,,,,,,,,1,0,1
686158377,00217M00:02:11.294,0217 00:21:46,1.70,,,,328.99,,,,,,,,1,0,1
686158378,00217M00:02:12.267,0217 00:21:47,1.72,,,,324.02,,,,,,,,1,0,1
686158379,00217M00:02:13.241,0217 00:21:48,1.57,,,,304.07,,,,,,,,1,0,1
686158380,00217M00:02:14.214,0217 00:21:49,1.87,,,,314.06,,,,,,,,1,0,1
686158381,00217M00:02:15.187,0217 00:21:50,1.87,,,,304.07,,,,,,,,1,0,1
686158382,00217M00:02:16.160,0217 00:21:51,1.57,,,,314.06,,,,,,,,1,0,1
686158383,00217M00:02:17.134,0217 00:21:52,0.37,,,,294.07,,,,,,,,1,0,1
686158384,00217M00:02:18.107,0217 00:21:53,0.62,,,,343.89,,,,,,,,1,0,1
686158385,00217M00:02:19.080,0217 00:21:54,0.85,,,,348.85,,,,,,,,1,0,1
686158386,00217M00:02:20.053,0217 00:21:55,0.76,,,,348.85,,,,,,,,1,0,1
686158387,00217M00:02:21.027,0217 00:21:56,1.28,,,,343.89,,,,,,,,1,0,1
686158388,00217M00:02:22.000,0217 00:21:57,1.05,,,,348.85,,,,,,,,1,0,1
686158389,00217M00:02:22.973,0217 00:21:58,1.34,,,,353.82,,,,,,,,1,0,1
